sample_name	collection date	isolate	host	lab host	geographic location	isolation source
sample_148	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_149	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_150	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_151	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_152	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_153	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_154	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_155	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_156	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_157	1/26/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_158	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_159	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_160	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_161	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_162	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_163	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_164	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_165	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_166	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_167	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_168	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_169	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_170	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_171	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_172	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_173	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_174	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_175	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_176	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_177	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_178	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_179	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_180	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_181	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_182	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_183	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_184	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_185	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_186	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_187	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_188	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_189	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_190	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_191	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_192	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_193	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_194	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_195	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_196	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_197	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_198	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_199	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_200	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_201	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_202	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_203	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_204	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_205	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_206	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_207	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_208	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_209	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_210	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_211	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_212	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_213	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_214	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_215	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_216	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_217	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_218	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_219	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_220	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_221	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_222	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_223	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_224	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_225	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_226	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_227	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_228	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_229	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_230	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_231	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_232	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_233	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_234	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_235	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_236	2/8/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
