sample_name	collection date	isolate	host	lab host	geographic location	isolation source
sample_591	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_592	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_593	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_594	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_595	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_596	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_597	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_598	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_599	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_600	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_601	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_602	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_603	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_604	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_605	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_606	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_607	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_608	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_609	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_610	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_611	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_612	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_613	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_614	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_615	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_616	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_617	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_618	3/30/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_619	4/7/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_620	4/7/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_621	4/7/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_622	4/7/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_623	4/7/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_624	4/7/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_625	4/7/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_626	4/7/21	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_627	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_628	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_629	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_630	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_631	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
sample_632	8/27/20	not applicable	Escherichia coli	Escherichia coli	USA:Seattle	T7 phage library
